Country,Operator,Type,Aboard,Fatalities,Ground,Survivors,SurvivalRate,Manufacturer,Year,Clust_ID
Nigeria,ADC Airlines,Boeing 737-2B7,105,96,0,9,0.085714286,Boeing,2006,1
Spain,AVIANCA,Boeing B-747-283B,192,181,0,11,0.057291667,Boeing,1983,1
United States Of America,AVIANCA,Boeing B-707-321B,158,73,0,85,0.537974684,Boeing,1990,1
Colombia,AVIANCA,Boeing B-727-21,107,107,3,0,0.0,Boeing,1989,1
Colombia,AVIANCA,Boeing B-727-21,143,143,0,0,0.0,Boeing,1988,1
Indonesia,Adam Air,Boeing B-737-4Q8,102,102,0,0,0.0,Boeing,2007,1
Russia,Aeroflot,Ilyushin IL-18,112,16,0,96,0.857142857,Ilyushin,1969,0
Russia,Aeroflot,Tupolev TU-154B,134,4,0,130,0.970149254,Tupolev,1978,0
Kazakhstan,Aeroflot,Tupolev TU-134A,90,90,0,0,0.0,Tupolev,1983,1
Uzbekistan,Aeroflot,Ilyushin IL-18V,92,92,0,0,0.0,Ilyushin,1970,1
Russia,Aeroflot,Tupolev TU-134A,92,70,0,22,0.239130435,Tupolev,1986,1
Russia,Aeroflot,Ilyushin IL-18D,82,82,0,0,0.0,Ilyushin,1968,1
Russia,Aeroflot,Tupolev TU-134A,94,54,0,40,0.425531915,Tupolev,1986,1
Russia,Aeroflot,Ilyushin IL-62,174,174,0,0,0.0,Ilyushin,1972,1
Russia,Aeroflot,Ilyushin IL-18B,87,87,0,0,0.0,Ilyushin,1964,1
Russia,Aeroflot,Ilyushin IL-18B,109,109,0,0,0.0,Ilyushin,1972,1
Germany,Aeroflot,Tupolev TU-134A,82,70,0,12,0.146341463,Tupolev,1986,1
Russia,Aeroflot,Ilyushin IL-18,101,101,0,0,0.0,Ilyushin,1972,1
Russia,Aeroflot,Tupolev TU-104B,106,86,0,20,0.188679245,Tupolev,1979,1
Uzbekistan,Aeroflot,Tupolev TU-154B-2,200,200,0,0,0.0,Tupolev,1985,1
Ukraine,Aeroflot,Antonov AN-10A,122,122,0,0,0.0,Antonov,1972,1
Kazakhstan,Aeroflot,Tupolev TU-154B,166,166,0,0,0.0,Tupolev,1980,1
Russia,Aeroflot,Tupolev TU-154B-2,167,99,0,68,0.407185629,Tupolev,1981,1
Russia,Aeroflot,Tupolev TU-104,100,100,0,0,0.0,Tupolev,1971,1
Russia,Aeroflot,Tupolev TU-104B,126,97,0,29,0.23015873,Tupolev,1971,1
Belarus,Aeroflot,Yakovlev YAK-42,132,132,0,0,0.0,Yakovlev,1982,1
Belarus,Aeroflot,Tupolev TU-134A,80,58,0,22,0.275,Tupolev,1985,1
Russia,Aeroflot,Tupolev TU-154B-2,110,110,0,0,0.0,Tupolev,1984,1
Russia,Aeroflot,Ilyushin IL-18B,130,130,0,0,0.0,Ilyushin,1967,1
Russia,Aeroflot,Tupolev TU-104A,86,86,0,0,0.0,Tupolev,1962,1
Russia,Aeroflot,Antonov An-10A,81,81,0,0,0.0,Antonov,1962,1
Czech Republic,Aeroflot,Tupolev TU-154,100,66,0,34,0.34,Tupolev,1973,1
Russia,Aeroflot,Tupolev TU-154B,179,174,4,5,0.027932961,Tupolev,1984,1
Russia,Aeroflot,Tupolev TU-104A,80,80,0,0,0.0,Tupolev,1958,1
Russia,Aeroflot,Boeing B-737-505,88,88,0,0,0.0,Boeing,2008,1
Russia,Aeroflot,Yakovlev YAK-42,129,4,0,125,0.968992248,Yakovlev,1990,0
Russia,Aeroflot,Tupolev TU-154B-1,181,13,0,168,0.928176796,Tupolev,1991,0
Uzbekistan,Aeroflot,Ilyushin IL-18E,115,1,0,114,0.991304348,Ilyushin,1974,0
Russia,Aeroflot,Ilyushin IL-62M,90,90,0,0,0.0,Ilyushin,1982,1
Russia,Aeroflot,Ilyushin IL-18B,93,93,0,0,0.0,Ilyushin,1970,1
Russia,Aeroflot,Tupolev TU-134A,84,84,0,0,0.0,Tupolev,1992,1
Russia,Aeroflot,Ilyushin IL-18B,118,118,0,0,0.0,Ilyushin,1974,1
Russia,Aeroflot,Tupolev TU-104B,72,72,0,0,0.0,Tupolev,1976,1
Russia,Aeroflot,Ilyushin IL-18V,77,77,0,0,0.0,Ilyushin,1977,1
Russia,Aeroflot,Tupolev TU 154B-2,143,11,0,132,0.923076923,Tupolev,1988,0
Russia,Aeroflot,Tupolev TU-104B,108,108,0,0,0.0,Tupolev,1973,1
Russia,Aeroflot,Tupolev TU-104B,119,119,0,0,0.0,Tupolev,1973,1
Cuba,Aeroflot,Ilyushin IL-62M,70,68,1,2,0.028571429,Ilyushin,1977,1
Russia,Aeroflot,Tupolev TU-104A,100,100,0,0,0.0,Tupolev,1973,1
Russia,Aeroflot,Ilyushin IL-18,79,79,0,0,0.0,Ilyushin,1973,1
Russia,Aeroflot,Antonov AN-10A,81,81,0,0,0.0,Antonov,1962,1
Russia,Aeroflot,Tupolev TU-104A,84,84,0,0,0.0,Tupolev,1962,1
Russia,Aeroflot,Tupolev TU-104A,96,96,0,0,0.0,Tupolev,1977,1
Russia,Aeroflot,Ilyushin IL-18D,120,120,7,0,0.0,Ilyushin,1976,1
Russia,Aeroflot / Aeroflot,Antonov AN-24 / Yakovlev Yak-40,90,90,0,0,0.0,Antonov,1976,1
Russia,Aeroflot / Aeroflot,Tupolev TU-134A / Tupolev Tu-134A,178,178,0,0,0.0,Tupolev,1979,1
Russia,Aeroflot / Soviet Air Force,Tupolev TU-134A / Antonov An-26,76,76,0,0,0.0,Tupolev,1985,1
Russia,Aeroflot Russian International Airways,Airbus A310-304,75,75,0,0,0.0,Airbus,1994,1
United States Of America,Aeronaves de Mexico,McDonnell Douglas DC-8-21,106,4,0,102,0.962264151,McDonnell,1961,0
Peru,Aeroperu,Boeing B-757-200,70,70,0,0,0.0,Boeing,1996,1
Greece,Aerosweet Airlines (LVOV),Yakovlev YAK-42,70,70,0,0,0.0,Yakovlev,1997,1
Venezuela,Aerovias Venezolanas SA (Venezuela),McDonnell Douglas DC-9-14,77,77,0,0,0.0,McDonnell,1974,1
Guatemala,Aerovias de Guatemala SA,Sud-Aviation  Caravelle VI-N,87,87,0,0,0.0,Sud,1986,1
Switzerland,Air Afrique,McDonnell Douglas DC-10-30,163,1,0,162,0.993865031,McDonnell,1987,0
Algeria,Air Algerie,Boeing B-737-2T4,103,102,0,1,0.009708738,Boeing,2003,1
Canada,Air Canada,McDonnell Douglas DC-8-63,109,109,0,0,0.0,McDonnell,1970,1
Canada,Air Canada,McDonnell Douglas DC-9-32,107,2,0,105,0.981308411,McDonnell,1978,0
South Korea,Air China,Boeing B-767-200ER,166,128,0,38,0.228915663,Boeing,2002,1
France,Air Ferry Ltd,Douglas C54A,88,88,0,0,0.0,Douglas,1967,1
United States Of America,Air Florida,Boeing B-737-222,79,74,4,5,0.063291139,Boeing,1982,1
France,Air France,Aerospatiale BAe Concorde 101,109,109,4,0,0.0,Aerospatiale,2000,1
Uganda,Air France,Airbus A300,258,7,0,251,0.972868217,Airbus,1976,0
France,Air France,Sud-Aviation Caravelle 3,95,95,0,0,0.0,Sud,1968,1
Brazil,Air France,Airbus A330-203,228,228,0,0,0.0,Airbus,2009,1
West Indies,Air France,Boeing B-707-328,112,112,0,0,0.0,Boeing,1962,1
Morrocco,Air France,Sud-Aviation Caravelle III,77,77,0,0,0.0,Sud,1961,1
Canada,Air France,Airbus A-340,309,0,0,309,1.0,Airbus,2005,0
France,Air France,Airbus A320-111,136,3,0,133,0.977941176,Airbus,1988,0
France,Air France,Boeing B-707-328,132,130,0,2,0.015151515,Boeing,1962,1
Algeria,Air France,Lockheed 1649A Starliner,78,78,0,0,0.0,Lockheed,1961,1
Algeria,Air France,Airbus A300B2-1C,239,3,0,236,0.987447699,Airbus,1994,0
India,Air India,Boeing B-707-437,111,17,0,94,0.846846847,Boeing,1982,0
India,Air India,Boeing B-747-237B,213,213,0,0,0.0,Boeing,1978,1
Switzerland,Air India,Boeing B-707-437,117,117,0,0,0.0,Boeing,1966,1
Ireland,Air India,Boeing B-747-237B,329,329,0,0,0.0,Boeing,1985,1
France,Air Inter,Airbus A320-111,96,87,0,9,0.09375,Airbus,1992,1
Sri Lanka,Air Lanka,Lockheed L-1011-100,150,22,0,128,0.853333333,Lockheed,1986,0
Mauritania,Air Mauritanie,Fokker F-28 Fellowship 4000,93,80,0,13,0.139784946,Fokker,1994,1
Antarctica,Air New Zealand,McDonnell Douglas DC-10-30,257,257,0,0,0.0,McDonnell,1979,1
Philippines,Air Philippines,Boeing B-737-2H4,131,131,0,0,0.0,Boeing,2000,1
Vietnam,Air Vietnam (South Vietnam),Douglas DC-4 / USAF F-4E,76,74,2,2,0.026315789,Douglas,1969,1
Vietnam,Air Vietnam (South Vietnam),Boeing B-727-121C,75,75,0,0,0.0,Boeing,1974,1
Dominican Republic,"Alas Nacionales, leased from Birgen Air",Boeing B-757-225,189,189,0,0,0.0,Boeing,1996,1
United States Of America,Alaska Airlines,Boeing B-727-193,111,111,0,0,0.0,Boeing,1971,1
United States Of America,Alaska Airlines,McDonnell Douglas MD-83,88,88,0,0,0.0,McDonnell,2000,1
Nigeria,Alia Royal Jordanian Airlines,Boeing B-707-3D3C,202,176,0,26,0.128712871,Boeing,1973,1
Morocco,Alia Royal Jordanian Airlines,Boeing B-707-321C,188,188,0,0,0.0,Boeing,1975,1
Italy,Alitalia,McDonnell Douglas DC-8-43,115,115,0,0,0.0,McDonnell,1972,1
India,Alitalia,McDonnell Douglas DC-8-43,94,94,0,0,0.0,McDonnell,1962,1
Italy,Alitalia,McDonnell Douglas DC-9-32,129,108,0,21,0.162790698,McDonnell,1978,1
Japan,All Nippon Airways,Boeing B-727-81,133,133,0,0,0.0,Boeing,1966,1
Japan,All Nippon Airways,Boeing B-747,517,1,0,516,0.998065764,Boeing,1999,0
Japan,All Nippon Airways /  Japanese Air Force,Boeing B-727-281 / Air Force F86F,164,163,0,1,0.006097561,Boeing,1971,1
United States Of America,Allegheny Airlines / Forth Corporation,MD Douglas DC-9-31/Piper Cherokee PA-28,83,83,0,0,0.0,MD,1969,1
United States Of America,Aloha Airlines,Boeing B-737-297,95,1,0,94,0.989473684,Boeing,1988,0
United States Of America,American Airlines,Lockheed  188A Electra,73,65,0,8,0.109589041,Lockheed,1959,1
United States Of America,American Airlines,McDonnell Douglas DC-10-10,271,271,2,0,0.0,McDonnell,1979,1
United States Of America,American Airlines,Airbus A300-600R,114,1,0,113,0.99122807,Airbus,2000,0
United States Of America,American Airlines,Boeing B-707-123B,95,95,0,0,0.0,Boeing,1962,1
United States Of America,American Airlines,Boeing 767-223ER,92,92,2750,0,0.0,Boeing,2001,1
United States Of America,American Airlines,Airbus A-300-605R,260,260,5,0,0.0,Airbus,2001,1
Colombia,American Airlines,Boeing B-757-223,164,160,0,4,0.024390244,Boeing,1995,1
United States Of America,American Airlines,McDonnell Douglas MD-82,145,11,0,134,0.924137931,McDonnell,1999,0
United States Of America,American Flyers Airline,Lockheed 188C Electra,98,83,0,15,0.153061224,Lockheed,1966,1
Russia,Armavia,Airbus A320-211,113,113,0,0,0.0,Airbus,2006,1
Canada,Arrow Airways,McDonnell Douglas DC-8 Super 63PF,256,256,0,0,0.0,McDonnell,1985,1
South Korea,Asiana Airlines,Boeing B-737-5L9,110,68,0,42,0.381818182,Boeing,1993,1
Uruguay,Austral Lineas Aeras (Argentina),McDonnell Douglas DC-9-32,74,74,0,0,0.0,McDonnell,1997,1
Spain,Aviaco,Sud-Aviation Caravelle 10-R,85,85,5,0,0.0,Sud,1973,1
Macedonia,Aviaimpex (Macedonia),Yakovlev YAK-42D,116,116,0,0,0.0,Yakovlev,1993,1
Nigeria,Aviation Development Corporation,Boeing B-727-231,143,143,0,0,0.0,Boeing,1996,1
Yugoslavia,Aviogenex (Yugoslavia),Tupolev TU-134A,83,78,0,5,0.060240964,Tupolev,1971,1
Russia,Azerbaijani Airlines,Tupolev TU-134B-3,82,54,0,28,0.341463415,Tupolev,1995,1
Russia,Baikal Air,Tupolev TU-154M,124,124,1,0,0.0,Tupolev,1994,1
Bulgaria,Balkan Bulgarian Airlines,Tupolev TU-134,73,73,0,0,0.0,Tupolev,1978,1
Lebanon,Balkan Bulgarian Airlines,Tupolev TU-154B,165,59,0,106,0.642424242,Tupolev,1977,0
Germany,Bashkirian Airlines / DHL Worldwide Express,Tupolev TU-154M / Boeing B-757-23APF,71,71,0,0,0.0,Tupolev,2002,1
Nigeria,Bellview Airlines,Boeing B-737-2L9,117,117,0,0,0.0,Boeing,2005,1
United States Of America,Braniff Airlines,Lockheed L188A Electra,85,85,0,0,0.0,Lockheed,1968,1
Yugoslavia,Britannia Airways,Bristol Britannia 102,117,98,0,19,0.162393162,Bristol,1966,1
England,British Airtours,Boeing B-737-236,137,55,0,82,0.598540146,Boeing,1985,1
Indonesia,British Airways,Boeing B-747,257,0,0,257,1.0,Boeing,1982,0
England,British Airways,Boeing 777-236ER,152,0,0,152,1.0,Boeing,2008,0
Austria,British Eagle International Airlines,Bristol Britannia 312,83,83,0,0,0.0,Bristol,1964,1
England,British European Airways,Hawker Siddeley Trident 1C,118,118,0,0,0.0,Hawker,1972,1
England,British Midland Airways,Canadair C-4 Argonaut,84,72,0,12,0.142857143,Canadair,1967,1
England,British Midland Airways,Boeing B-737-4Y0,126,47,0,79,0.626984127,Boeing,1989,1
Japan,British Overseas Airways,Boeing B-707-436,124,124,0,0,0.0,Boeing,1966,1
England,British Overseas Airways,Boeing B-707-465,127,5,0,122,0.960629921,Boeing,1968,0
Bulgaria,Bulair TABSO,Ilyushin IL-18,89,47,0,42,0.471910112,Ilyushin,1968,1
China,CAAC,Hawker Siddeley Trident 2E,112,112,0,0,0.0,Hawker,1982,1
China,CAAC,Hawker Siddeley Trident 2E /  II-28,106,11,0,95,0.896226415,Hawker,1983,0
Cameroon,Caledonian Airways,Douglas DC-7C,111,111,0,0,0.0,Douglas,1962,1
Cameroon,Cameroon Airlines,Boeing B-737-2K9,78,72,0,6,0.076923077,Boeing,1995,1
Cameroon,Cameroon Airlines,Boeing B-737-2H7C,116,2,0,114,0.982758621,Boeing,1984,0
Portugal,Canadian Air Transat,Airbus A-330-243,304,0,0,304,1.0,Airbus,2001,0
United States Of America,Capital Airlines,McDonnell Douglas DC-8-63CF,229,47,0,182,0.794759825,McDonnell,1970,0
Vietnam,Cathay PacifiAirways,Convair CV-880-22M-21,81,81,0,0,0.0,Convair,1972,1
China,Cathay PacifiAirways,Convair CV-880-22M-3,127,1,0,126,0.992125984,Convair,1967,0
Philippines,Cebu PacifiAir,McDonnell Douglas DC-9-32,104,104,0,0,0.0,McDonnell,1998,1
Czechoslovakia,Ceskoslovenske Aerolinie,Ilyushin IL-18L,79,76,0,3,0.037974684,Ilyushin,1976,1
Syria,Ceskoslovenske Aerolinie,Ilyushin IL-62,128,126,0,2,0.015625,Ilyushin,1975,1
Morocco,Ceskoslovenske Aerolinie,Ilyushin IL-18B,72,72,0,0,0.0,Ilyushin,1961,1
Taiwan,China Airlines (Taiwan),Boeing B-747-209B,225,225,0,0,0.0,Boeing,2002,1
United States Of America,China Airlines (Taiwan),Boeing B-747-SP-09,274,0,0,274,1.0,Boeing,1985,0
Philippines,China Airlines (Taiwan),Boeing B-707-309C,135,2,0,133,0.985185185,Boeing,1980,0
Taiwan,China Airlines (Taiwan),Airbus A300-622R,196,196,7,0,0.0,Airbus,1998,1
Japan,China Airlines (Taiwan),Airbus A300B4-622R,271,264,0,7,0.025830258,Airbus,1994,1
United States Of America,China Eastern Airlines,McDonnell Douglas MD-11,264,2,0,262,0.992424242,McDonnell,1993,0
China,China General Aviation Corporation,Yakovlev YAK-42D,126,108,0,18,0.142857143,Yakovlev,1992,1
China,China Northern Airlines,McDonnell Douglas MD-82,112,112,0,0,0.0,McDonnell,2002,1
China,China Northern Airlines,McDonnell Douglas MD-82,102,12,0,90,0.882352941,McDonnell,1993,0
China,China Northwest Airlines,Tupolev TU-154M,160,160,0,0,0.0,Tupolev,1994,1
China,China Northwest Airlines,British Aerospace 146-300,113,55,0,58,0.513274336,British,1993,1
China,China Southern Airlines,Boeing B-737-3Y0,141,141,0,0,0.0,Boeing,1992,1
China,China Southwest Airlines,Ilyushin IL-18D,108,108,0,0,0.0,Ilyushin,1988,1
China,China Southwest Airlines / Xiamen Airlines,Boeing B-737-247 / Boeing B-757-21B,226,128,0,98,0.433628319,Boeing,1990,1
Dominican Republic,Compania Dominicana de Aviacion,McDonnell Douglas DC-9-32,102,102,0,0,0.0,McDonnell,1970,1
Mexico,Compania Mexicana de Aviacion,Boeing B-727-64,79,79,0,0,0.0,Boeing,1969,1
Peru,Compania de Aviacion Faucett SA (Peru),Boeing B-737-222,123,123,0,0,0.0,Boeing,1996,1
United States Of America,Continental Airlines,Boeing B-727-224,131,0,0,131,1.0,Boeing,1975,0
United States Of America,Continental Airlines,McDonnell Douglas MD-82,116,0,0,116,1.0,McDonnell,1994,0
United States Of America,Continental Airlines,McDonnell Douglas DC-10-10,200,2,0,198,0.99,McDonnell,1978,0
Barbados,Cubana de Aviacion,McDonnell Douglas DC-8-43,73,73,0,0,0.0,McDonnell,1976,1
Ecuador,Cubana de Aviacion,Tupolev TU-154M,91,70,10,21,0.230769231,Tupolev,1998,1
Cuba,Cubana de Aviacion,Ilyushin IL-62M,126,126,45,0,0.0,Ilyushin,1989,1
Guatemala,Cubana de Aviacon,McDonnell Douglas DC-10-30,314,16,2,298,0.949044586,McDonnell,1999,0
Canary Islands,Dan Air Services,Boeing B-727-64,146,146,0,0,0.0,Boeing,1980,1
Spain,Dan Air Services,de Havilland Comet 4,112,112,0,0,0.0,de,1970,1
United States Of America,Delta Air Lines,Boeing B-727-232 Adv,108,14,0,94,0.87037037,Boeing,1988,0
United States Of America,Delta Air Lines,McDonnell Douglas DC-9-31,89,89,0,0,0.0,McDonnell,1973,1
United States Of America,Delta Air Lines,McDonnell Douglas MD-88,142,2,0,140,0.985915493,McDonnell,1996,0
United States Of America,Delta Air Lines,Lockheed L-1011-1 TriStar,163,134,1,29,0.17791411,Lockheed,1985,1
United States Of America,Delta Air Lines/ North Central Airlines,Convair CV-880 / McDonnell DC-9-31,133,10,0,123,0.92481203,Convair,1972,0
Nigeria,EAS Airlines (Executive Airline Services),BAC One-Eleven 525FT,77,74,75,3,0.038961039,BAC,2002,1
Ethiopia,East African Airways,BAC Super VC-10 1154,107,43,0,64,0.598130841,BAC,1972,1
United States Of America,Eastern Air Lines,McDonnell Douglas DC-9-31,97,1,0,96,0.989690722,McDonnell,1990,0
United States Of America,Eastern Air Lines,Douglas DC-7B,84,84,0,0,0.0,Douglas,1965,1
Bahamas,Eastern Air Lines,Lockheed L-1011,172,0,0,172,1.0,Lockheed,1983,0
United States Of America,Eastern Air Lines,Boeing B-727-225,124,113,0,11,0.088709677,Boeing,1975,1
United States Of America,Eastern Air Lines,McDonnell Douglas DC-9-31,82,70,0,12,0.146341463,McDonnell,1974,1
United States Of America,Eastern Air Lines,Lockheed L-1011 TriStar1,176,103,0,73,0.414772727,Lockheed,1972,1
Malta,EgyptAir,Boeing B-737-266,103,60,0,43,0.417475728,Boeing,1985,1
United States Of America,EgyptAir,Boeing B-767-366ER,217,217,0,0,0.0,Boeing,1999,1
Comoros,Ethiopian Airlines,Boeing B-767-200ER,175,127,0,48,0.274285714,Boeing,1996,1
Ethiopia,Ethiopian Airlines,Boeing B-737-230,104,35,0,69,0.663461538,Boeing,1988,1
Wales,Fairflight Ltd.,Avro 689 Tudor 5,83,80,0,3,0.036144578,Avro,1950,1
Russia,Far East Aviation,Tupolev TU-154B,98,98,0,0,0.0,Tupolev,1995,1
Taiwan,Far Eastern Air Transport,Boeing B-737-222,110,110,0,0,0.0,Boeing,1981,1
Peru,Faucett,Douglas DC-C-54A,72,72,0,0,0.0,Douglas,1967,1
Egypt,Flash Air,Boeing B-737-3Q8,148,148,0,0,0.0,Boeing,2004,1
Philippine Sea,Flying Tiger Line,Lockheed 1049H Super Constellation,107,107,0,0,0.0,Lockheed,1962,1
Colombia,Fuerza Aérea Colombiana,Douglas DC-6B,80,80,0,0,0.0,Douglas,1985,1
Peru,Fuerza Aérea del Peru,Boeing B-737-282,88,75,0,13,0.147727273,Boeing,1998,1
